Hora,Nome,ccu
20/04/2021 15:25,Source SDK Base 2013 Multiplayer,156066
20/04/2021 15:25,PLAYERUNKNOWN'S BATTLEGROUNDS,131488
20/04/2021 15:25,Apex Legends,127831
20/04/2021 15:25,Path of Exile,123729
20/04/2021 15:25,Destiny 2,94016
20/04/2021 15:25,Grand Theft Auto V,93033
20/04/2021 15:55,Counter-Strike: Global Offensive,969913
20/04/2021 15:55,Dota 2,495257
20/04/2021 15:55,Source SDK Base 2013 Multiplayer,162918
20/04/2021 15:55,Apex Legends,125517
20/04/2021 15:55,Path of Exile,125023
20/04/2021 15:55,PLAYERUNKNOWN'S BATTLEGROUNDS,124694
20/04/2021 15:55,Destiny 2,95331
20/04/2021 15:55,Team Fortress 2,92960
20/04/2021 16:25,Counter-Strike: Global Offensive,961330
20/04/2021 16:25,Dota 2,468536
20/04/2021 16:25,Source SDK Base 2013 Multiplayer,168434
20/04/2021 16:25,Path of Exile,124851
20/04/2021 16:25,Apex Legends,121831
20/04/2021 16:25,PLAYERUNKNOWN'S BATTLEGROUNDS,115862
20/04/2021 16:25,Destiny 2,95076
20/04/2021 16:25,Team Fortress 2,92952
20/04/2021 16:55,Counter-Strike: Global Offensive,928745
20/04/2021 16:55,Dota 2,456355
20/04/2021 16:55,Source SDK Base 2013 Multiplayer,170175
20/04/2021 16:55,Path of Exile,123630
20/04/2021 16:55,Apex Legends,118572
20/04/2021 16:55,PLAYERUNKNOWN'S BATTLEGROUNDS,108433
20/04/2021 16:55,Destiny 2,93871
20/04/2021 16:55,Team Fortress 2,92388
20/04/2021 17:25,Counter-Strike: Global Offensive,861774
20/04/2021 17:25,Dota 2,434675
20/04/2021 17:25,Source SDK Base 2013 Multiplayer,166772
20/04/2021 17:25,Path of Exile,120206
20/04/2021 17:25,Apex Legends,112012
20/04/2021 17:25,PLAYERUNKNOWN'S BATTLEGROUNDS,98474
20/04/2021 17:25,Destiny 2,91179
20/04/2021 17:25,Team Fortress 2,90902
20/04/2021 17:55,Counter-Strike: Global Offensive,794244
20/04/2021 17:55,Dota 2,407891
20/04/2021 17:55,Source SDK Base 2013 Multiplayer,161023
20/04/2021 17:55,Path of Exile,115943
20/04/2021 17:55,Apex Legends,106480
20/04/2021 17:55,Team Fortress 2,90401
20/04/2021 17:55,PLAYERUNKNOWN'S BATTLEGROUNDS,88795
20/04/2021 17:55,Destiny 2,88188
20/04/2021 18:25,Counter-Strike: Global Offensive,709136
20/04/2021 18:25,Dota 2,377180
20/04/2021 18:25,Source SDK Base 2013 Multiplayer,151070
20/04/2021 18:25,Path of Exile,109903
20/04/2021 18:25,Apex Legends,99790
20/04/2021 18:25,Team Fortress 2,89099
20/04/2021 18:25,Rocket League,85684
20/04/2021 18:25,Destiny 2,84258
20/04/2021 18:55,Counter-Strike: Global Offensive,646448
20/04/2021 18:55,Dota 2,345883
20/04/2021 18:55,Source SDK Base 2013 Multiplayer,141662
20/04/2021 18:55,Path of Exile,104145
20/04/2021 18:55,Apex Legends,94539
20/04/2021 18:55,Team Fortress 2,89910
20/04/2021 18:55,Destiny 2,80801
20/04/2021 18:55,Rust,78553
20/04/2021 19:25,Counter-Strike: Global Offensive,578211
20/04/2021 19:25,Dota 2,321365
20/04/2021 19:25,Source SDK Base 2013 Multiplayer,130573
